parking_id,name,num_stops_400m,total_daily_trips,total_routes,nearest_stop_distance_m,avg_walk_distance_m,scenario,buffer_distance_m,has_adequate_transit,trips_per_stop,stops_score,frequency_score,reliability_score,proximity_score,diversity_score,accessibility_score,service_quality,reliability_class,rank_conservative
279,"Location (35.0411, -85.2619)",12,313,12,238,319,conservative,400,True,26.083333333333332,19.67,2.73,100,97.62,6.32,41.01,excellent,High Reliability,134
152,"Location (35.0228, -85.2752)",10,600,10,157,256,conservative,400,True,60.0,16.39,5.24,100,98.43,5.26,40.96,excellent,High Reliability,135
117,"Location (35.0101, -85.3267)",9,672,9,99,204,conservative,400,True,74.66666666666667,14.75,5.87,100,99.01,4.74,40.77,excellent,High Reliability,136
336,"Location (35.0452, -85.1613)",8,827,8,84,206,conservative,400,True,103.375,13.11,7.22,100,99.16,4.21,40.74,excellent,High Reliability,137
265,"Location (35.0373, -85.2639)",11,390,11,243,298,conservative,400,True,35.45454545454545,18.03,3.41,100,97.57,5.79,40.74,excellent,High Reliability,138
154,"Location (35.0090, -85.3291)",9,620,9,84,199,conservative,400,True,68.88888888888889,14.75,5.41,100,99.16,4.74,40.66,excellent,High Reliability,139
302,"Location (35.0072, -85.2079)",8,828,8,157,298,conservative,400,True,103.5,13.11,7.23,100,98.43,4.21,40.63,excellent,High Reliability,140
169,"Location (35.0316, -85.3046)",9,672,12,348,372,conservative,400,True,74.66666666666667,14.75,5.87,100,96.52,6.32,40.56,excellent,High Reliability,141
236,"Location (35.0401, -85.2587)",10,380,10,66,220,conservative,400,True,38.0,16.39,3.32,100,99.34,5.26,40.52,excellent,High Reliability,142
38,"Location (35.0084, -85.2163)",8,828,8,261,304,conservative,400,True,103.5,13.11,7.23,100,97.39,4.21,40.48,excellent,High Reliability,143
97,"Location (35.0210, -85.2908)",11,198,11,93,218,conservative,400,True,18.0,18.03,1.73,100,99.07,5.79,40.47,excellent,High Reliability,144
214,"Location (35.0229, -85.2482)",8,783,8,217,294,conservative,400,True,97.875,13.11,6.84,100,97.83,4.21,40.43,excellent,High Reliability,145
145,"Location (35.0679, -85.3144)",10,342,10,82,189,conservative,400,True,34.2,16.39,2.99,100,99.18,5.26,40.4,excellent,High Reliability,146
160,"Location (35.0471, -85.3177)",9,524,9,100,250,conservative,400,True,58.22222222222222,14.75,4.58,100,99.0,4.74,40.38,excellent,High Reliability,147
120,"Location (35.0456, -85.2590)",10,351,10,191,289,conservative,400,True,35.1,16.39,3.06,100,98.09,5.26,40.26,excellent,High Reliability,148
339,"Location (35.0328, -85.3132)",9,441,9,56,172,conservative,400,True,49.0,14.75,3.85,100,99.44,4.74,40.23,excellent,High Reliability,149
408,"Location (35.0106, -85.2120)",7,725,7,154,268,conservative,400,True,103.57142857142857,11.48,6.33,100,98.46,3.68,39.91,excellent,High Reliability,150
85,"Location (35.1065, -85.2718)",8,480,8,47,228,conservative,400,True,60.0,13.11,4.19,100,99.53,4.21,39.89,excellent,High Reliability,151
116,"Location (35.0350, -85.3162)",9,441,9,296,333,conservative,400,True,49.0,14.75,3.85,100,97.04,4.74,39.87,excellent,High Reliability,152
374,"Location (35.1132, -85.2641)",8,480,8,59,219,conservative,400,True,60.0,13.11,4.19,100,99.41,4.21,39.87,excellent,High Reliability,153
399,"Location (35.0690, -85.2886)",8,480,8,68,188,conservative,400,True,60.0,13.11,4.19,100,99.32,4.21,39.86,excellent,High Reliability,154
91,"Location (35.0241, -85.2913)",10,180,10,207,268,conservative,400,True,18.0,16.39,1.57,100,97.93,5.26,39.79,excellent,High Reliability,155
67,"Location (35.0378, -85.2588)",9,342,9,215,250,conservative,400,True,38.0,14.75,2.99,100,97.85,4.74,39.74,excellent,High Reliability,156
232,"Location (35.0205, -85.2881)",9,162,9,63,225,conservative,400,True,18.0,14.75,1.41,100,99.37,4.74,39.49,excellent,High Reliability,157
127,"Location (35.0068, -85.2108)",6,621,6,46,152,conservative,400,True,103.5,9.84,5.42,100,99.54,3.16,39.33,excellent,High Reliability,158
421,"Location (35.0266, -85.2538)",6,621,6,66,142,conservative,400,True,103.5,9.84,5.42,100,99.34,3.16,39.3,excellent,High Reliability,159
443,"Location (35.0103, -85.2126)",6,621,6,87,206,conservative,400,True,103.5,9.84,5.42,100,99.13,3.16,39.27,excellent,High Reliability,160
392,"Location (35.0484, -85.3204)",7,398,7,43,186,conservative,400,True,56.857142857142854,11.48,3.48,100,99.57,3.68,39.22,excellent,High Reliability,161
