parking_id,name,num_stops_800m,total_daily_trips,total_routes,nearest_stop_distance_m,avg_walk_distance_m,scenario,buffer_distance_m,has_adequate_transit,trips_per_stop,stops_score,frequency_score,reliability_score,proximity_score,diversity_score,accessibility_score,service_quality,reliability_class,rank_moderate
311,"Location (35.0609, -85.3222)",2,120,2,715,718,moderate,800,True,60.0,1.26,0.5,100,92.85,0.42,34.43,excellent,Moderate Reliability,267
126,"Location (35.0871, -85.1891)",9,86,9,69,403,moderate,800,True,9.555555555555555,5.66,0.36,80,99.31,1.88,32.61,good,High Reliability,268
202,"Location (35.0730, -85.2366)",8,75,8,122,431,moderate,800,True,9.375,5.03,0.31,80,98.78,1.67,32.34,good,High Reliability,269
11,VWGoA,6,89,7,114,330,moderate,800,True,14.833333333333334,3.77,0.37,80,98.86,1.46,32.03,good,High Reliability,270
390,"Location (35.0721, -85.1320)",6,89,7,208,407,moderate,800,True,14.833333333333334,3.77,0.37,80,97.92,1.46,31.89,good,High Reliability,271
118,"Location (35.0641, -85.2729)",5,92,8,123,553,moderate,800,True,18.4,3.14,0.38,80,98.77,1.67,31.88,good,High Reliability,272
30,"Location (35.0714, -85.1375)",6,98,7,307,492,moderate,800,True,16.333333333333332,3.77,0.41,80,96.93,1.46,31.75,good,High Reliability,273
218,"Location (35.1003, -85.2398)",4,96,5,93,385,moderate,800,True,24.0,2.52,0.4,80,99.07,1.05,31.71,good,High Reliability,274
104,"Location (35.0700, -85.1410)",4,68,4,65,371,moderate,800,True,17.0,2.52,0.28,80,99.35,0.84,31.7,good,High Reliability,275
225,"Location (35.0730, -85.1531)",5,83,7,263,348,moderate,800,True,16.6,3.14,0.35,80,97.37,1.46,31.64,good,High Reliability,276
53,"Location (35.0985, -85.2375)",4,96,5,194,386,moderate,800,True,24.0,2.52,0.4,80,98.06,1.05,31.56,good,High Reliability,277
82,"Location (35.0981, -85.2447)",4,96,5,213,415,moderate,800,True,24.0,2.52,0.4,80,97.87,1.05,31.53,good,High Reliability,278
72,"Location (35.0985, -85.2411)",4,96,5,229,275,moderate,800,True,24.0,2.52,0.4,80,97.71,1.05,31.51,good,High Reliability,279
376,"Location (35.0964, -85.2532)",4,96,6,289,490,moderate,800,True,24.0,2.52,0.4,80,97.11,1.26,31.44,good,High Reliability,280
303,"Location (35.0959, -85.2549)",4,81,5,288,404,moderate,800,True,20.25,2.52,0.34,80,97.12,1.05,31.4,good,High Reliability,281
162,"Location (35.0554, -85.2832)",3,80,6,205,377,moderate,800,True,26.666666666666668,1.89,0.33,80,97.95,1.26,31.39,good,High Reliability,282
256,"Location (35.0625, -85.2756)",3,56,4,175,316,moderate,800,True,18.666666666666668,1.89,0.23,80,98.25,0.84,31.36,good,High Reliability,283
144,"Location (35.0997, -85.2429)",4,96,5,352,405,moderate,800,True,24.0,2.52,0.4,80,96.48,1.05,31.33,good,High Reliability,284
46,"Location (35.1015, -85.2385)",3,64,3,198,446,moderate,800,True,21.333333333333332,1.89,0.27,80,98.02,0.63,31.32,good,High Reliability,285
215,"Location (35.0695, -85.1516)",4,78,6,528,650,moderate,800,True,19.5,2.52,0.32,80,94.72,1.26,31.06,good,High Reliability,286
183,"Location (35.0733, -85.1997)",3,51,3,366,511,moderate,800,True,17.0,1.89,0.21,80,96.34,0.63,31.05,good,High Reliability,287
37,"Location (35.1008, -85.2344)",3,64,3,440,621,moderate,800,True,21.333333333333332,1.89,0.27,80,95.6,0.63,30.95,good,High Reliability,288
384,"Location (35.1421, -85.2378)",1,60,1,709,709,moderate,800,True,60.0,0.63,0.25,80,92.91,0.21,30.19,good,Low Reliability,289
134,CCA lot,1,76,1,755,755,moderate,800,True,76.0,0.63,0.32,80,92.45,0.21,30.14,good,Low Reliability,290
122,"Location (35.1434, -85.2381)",1,60,1,778,778,moderate,800,True,60.0,0.63,0.25,80,92.22,0.21,30.09,good,Low Reliability,291
366,"Location (35.1449, -85.2405)",1,60,1,778,778,moderate,800,True,60.0,0.63,0.25,80,92.22,0.21,30.09,good,Low Reliability,292
88,"Location (35.0865, -85.1334)",1,39,2,32,32,moderate,800,True,39.0,0.63,0.16,60,99.68,0.42,27.2,fair,Low Reliability,293
344,"Location (35.0891, -85.1773)",4,39,4,393,485,moderate,800,True,9.75,2.52,0.16,60,96.07,0.84,27.17,fair,Moderate Reliability,294
69,"Location (35.0857, -85.1316)",1,39,2,212,212,moderate,800,True,39.0,0.63,0.16,60,97.88,0.42,26.93,fair,Low Reliability,295
27,Trailer Yard,1,39,2,417,417,moderate,800,True,39.0,0.63,0.16,60,95.83,0.42,26.62,fair,Low Reliability,296
229,Oakwood Baptist Church Parking Lot,3,44,3,680,733,moderate,800,True,14.666666666666666,1.89,0.18,60,93.2,0.63,26.57,fair,Moderate Reliability,297
87,"Location (35.0681, -85.1478)",2,34,2,610,638,moderate,800,True,17.0,1.26,0.14,60,93.9,0.42,26.48,fair,Moderate Reliability,298
